Which reinforcement schedule produces the highest, most persistent rate of responding?	Variable-ratio.	conditioning
Removing an aversive stimulus to increase a behavior is which operant process?	Negative reinforcement.	conditioning
Taking away a pleasant stimulus to decrease a behavior is which operant process?	Negative punishment.	conditioning
Presenting the conditioned stimulus repeatedly without the US, weakening the CR, is called what?	Extinction.	conditioning
After a rest, an extinguished conditioned response reappears more weakly; what is this?	Spontaneous recovery.	conditioning
Reinforcing successive approximations toward a target behavior is called what?	Shaping.	conditioning
Learning to respond to the CS but not to similar stimuli that were never reinforced is called what?	Discrimination.	conditioning
In Pavlov's study, salivation to food before any learning is which type of response?	An unconditioned response (UR).	conditioning
Long-term memory encodes information largely how, in contrast to short-term memory's acoustic encoding?	By meaning (semantically).	memory
Which brain structure supports consolidation into long-term storage but is not itself the store?	The hippocampus.	memory
Grouping items into meaningful units to expand short-term memory capacity is called what?	Chunking.	memory
Retrieval improves when cues at recall match those present at encoding; what principle is this?	Encoding specificity.	memory
Memory for skills such as riding a bike is which type of long-term memory?	Procedural (implicit) memory.	memory
Memory for events tied to a specific time and place is which type of memory?	Episodic memory.	memory
In the Baddeley-Hitch model, which component provides attentional control and directs the subsystems?	The central executive.	memory
Which sensory memory subtype briefly holds auditory impressions?	Echoic memory.	memory
How does cocaine raise dopamine levels in the synaptic cleft?	It blocks dopamine reuptake, so dopamine accumulates in the cleft.	neurotransmitters
What is the main excitatory neurotransmitter, present at over 90% of synapses?	Glutamate.	neurotransmitters
Loss of dopamine neurons in the substantia nigra causes which disease?	Parkinson's disease.	neurotransmitters
Which enzyme degrades acetylcholine to terminate its signal?	Acetylcholinesterase.	neurotransmitters
Which ion enters the axon terminal to trigger synaptic vesicle fusion and transmitter release?	Calcium (Ca2+).	neurotransmitters
Excess signaling of which neurotransmitter is linked to schizophrenia?	Dopamine.	neurotransmitters
Which neurotransmitter is the main inhibitory transmitter and the target of many sedatives?	GABA.	neurotransmitters
Which neurotransmitter acts at the neuromuscular junction to activate skeletal muscle?	Acetylcholine.	neurotransmitters
In Weber's model, a poet with prestige but little wealth ranks high in which dimension?	Status (prestige/honor), independent of class.	social-stratification
Marx defined social class by a person's relationship to what?	The means of production.	social-stratification
A stratification system in which status is ascribed at birth and fixed is which type?	A caste system (closed).	social-stratification
Per the Davis-Moore hypothesis, why is social inequality functional?	Demanding positions requiring scarce training are rewarded more to motivate people to fill them.	social-stratification
Movement between strata within a single person's lifetime is which type of mobility?	Intragenerational mobility.	social-stratification
Weber's three independent dimensions of stratification are class, status, and what?	Power.	social-stratification
World-systems theory divides nations into core, peripheral, and which third category?	Semi-peripheral.	social-stratification
